,cutoffVal,sgRNAs,proportionVsOne
153,153,18137,0.601798394054018
154,154,18049,0.598878492268896
155,155,17981,0.596622204525848
156,156,17911,0.594299555378592
157,157,17832,0.591678279912403
158,158,17760,0.58928926936094
159,159,17685,0.586800716703165
160,160,17626,0.58484305527905
161,161,17547,0.582221779812861
162,162,17472,0.579733227155087
163,163,17382,0.576746963965758
164,164,17296,0.573893423584843
165,165,17232,0.571769858650209
166,166,17134,0.568518149844051
167,167,17063,0.566162319994691
168,168,16989,0.56370694803902
169,169,16909,0.561052491870728
170,170,16853,0.559194372552923
171,171,16791,0.557137169022497
172,172,16728,0.555046784789966
173,173,16658,0.55272413564271
174,174,16586,0.550335125091247
175,175,16531,0.548510186475546
176,176,16452,0.545888911009357
177,177,16377,0.543400358351583
178,178,16300,0.540845444289601
179,179,16225,0.538356891631827
180,180,16145,0.535702435463534
181,181,16069,0.533180702103657
182,182,15995,0.530725330147986
183,183,15922,0.528303138894419
184,184,15852,0.525980489747163
185,185,15772,0.52332603357887
186,186,15687,0.52050567390006
187,187,15614,0.518083482646493
188,188,15517,0.514864954542438
189,189,15446,0.512509124693079
190,190,15367,0.50988784922689
191,191,15293,0.507432477271219
192,192,15206,0.504545756188201
193,193,15130,0.502024022828323
194,194,15059,0.499668192978963
195,195,15002,0.497776892959055
196,196,14932,0.495454243811799
197,197,14858,0.492998871856128
198,198,14780,0.490410777092043
199,199,14709,0.488054947242684
200,200,14642,0.485831840201739
201,201,14559,0.483077841927135
202,202,14505,0.481286084013538
203,203,14425,0.478631627845245
204,204,14366,0.47667396642113
205,205,14300,0.474484040082288
206,206,14226,0.472028668126618
207,207,14150,0.46950693476674
208,208,14085,0.467350189130002
209,209,14029,0.465492069812197
210,210,13966,0.463401685579667
211,211,13880,0.460548145198752
212,212,13812,0.458291857455704
213,213,13746,0.456101931116862
214,214,13687,0.454144269692747
215,215,13620,0.451921162651802
216,216,13546,0.449465790696131
217,217,13472,0.447010418740461
218,218,13407,0.444853673103723
219,219,13357,0.44319463799854
220,220,13301,0.441336518680735
221,221,13239,0.439279315150309
222,222,13174,0.437122569513571
223,223,13105,0.434833101068419
224,224,13024,0.432145464198022
225,225,12943,0.429457827327626
226,226,12876,0.427234720286681
227,227,12803,0.424812529033114
228,228,12752,0.423120313225828
229,229,12677,0.420631760568054
230,230,12596,0.417944123697657
231,231,12530,0.415754197358816
232,232,12460,0.41343154821156
233,233,12398,0.411374344681133
234,234,12348,0.409715309575951
235,235,12276,0.407326299024487
236,236,12205,0.404970469175128
237,237,12144,0.402946446346805
238,238,12081,0.400856062114274
239,239,12021,0.398865219988055
240,240,11980,0.397504811201805
241,241,11920,0.395513969075586
242,242,11867,0.393755391864092
243,243,11805,0.391698188333665
244,244,11743,0.389640984803238
245,245,11672,0.387285154953879
246,246,11610,0.385227951423452
247,247,11548,0.383170747893025
248,248,11506,0.381777158404672
249,249,11432,0.379321786449001
250,250,11378,0.377530028535404
