,cutoffVal,sgRNAs,proportionVsOne
226,226,17172,0.268224488839599
227,227,17063,0.266521922494182
228,228,16947,0.264710017025663
229,229,16846,0.263132409678074
230,230,16742,0.2615079427063
231,231,16617,0.259555458365224
232,232,16523,0.258087190140735
233,233,16411,0.256337764171131
234,234,16281,0.254307180456413
235,235,16160,0.252417175614252
236,236,16042,0.250574030396276
237,237,15929,0.248808984551944
238,238,15824,0.24716889770544
239,239,15719,0.245528810858937
240,240,15607,0.243779384889333
241,241,15467,0.241592602427329
242,242,15370,0.240077474578654
243,243,15276,0.238609206354165
244,244,15168,0.236922259883476
245,245,15072,0.23542275190953
246,246,14962,0.233704565689383
247,247,14868,0.232236297464894
248,248,14762,0.230580590743662
249,249,14645,0.228753065400415
250,250,14549,0.227253557426469
