,Cutoff,Epoch,mean_spearman
1,1,75,0
2,2,72,0.0214380092024344
3,3,64,0.0252095798794507
4,4,73,0.0275931000231695
5,5,70,0.027636301719862
6,6,83,0.0329365693549096
7,7,67,0.0316279274877519
8,8,79,0.0304884666925778
9,9,77,0.0329939348918009
10,10,78,0.0348073560690545
11,11,70,0.0322538785494951
12,12,73,0.0272537102810249
13,13,75,0.0323804868682683
14,14,69,0.0339571094576363
15,15,82,0.0340049254316072
16,16,75,0.0346045225772454
17,17,92,0.0364331570683474
18,18,79,0.0326011451364937
19,19,80,0.0329396341597599
20,20,70,0.0357477754553398
21,21,82,0.0371619531445497
22,22,73,0.0404905214975761
23,23,79,0.0324177708365536
24,24,81,0.0331409489817073
25,25,83,0.0382834139997955
26,26,74,0.0386938202592786
27,27,74,0.0371746046191678
28,28,69,0.0395119994870006
29,29,81,0.0382983206848436
30,30,73,0.0396006022339555
31,31,82,0.0382726190640106
32,32,73,0.0377869531723598
33,33,77,0.0396799148863077
34,34,72,0.036804383264904
35,35,83,0.0409956328944256
36,36,79,0.0410055198634081
37,37,70,0.0424017887464022
38,38,73,0.0404219665192534
39,39,80,0.0381598119446085
40,40,90,0.0392365132812256
41,41,79,0.0399340499651966
42,42,88,0.0420728777582149
43,43,76,0.0431166227185001
44,44,68,0.0391523489112301
45,45,75,0.0470761384271635
46,46,85,0.0439012942815786
47,47,79,0.0443865141797166
48,48,79,0.0435462938985116
49,49,71,0.042051352780974
50,50,81,0.0397916105777014
51,51,81,0.044432481249214
52,52,76,0.0420187849596616
53,53,75,0.0451851487795638
54,54,69,0.0388080234891747
55,55,78,0.0429877327134203
56,56,85,0.0480008709033719
57,57,81,0.0415129506949217
58,58,76,0.0402202243994578
59,59,75,0.0431148336426885
60,60,77,0.0433993047142289
61,61,71,0.0455207755475413
62,62,89,0.0395260806495297
63,63,82,0.0429846465397005
64,64,76,0.0416138482784325
65,65,74,0.0444247780325024
66,66,78,0.042706050477098
67,67,90,0.0435080493258516
68,68,82,0.0439131711034473
69,69,91,0.0451512102673263
70,70,83,0.0431563141448242
71,71,85,0.0433303545257281
72,72,78,0.0446786149734817
73,73,86,0.0420296037844686
74,74,87,0.0454613648302391
75,75,81,0.0422949314321407
76,76,82,0.0450315564646708
77,77,84,0.044669119419233
78,78,81,0.0419304439835411
79,79,88,0.0432589405241519
80,80,78,0.0451483741701723
81,81,88,0.0458268232263701
82,82,81,0.0463556208610417
83,83,80,0.0454482140351983
84,84,77,0.043446773004525
85,85,73,0.0401598571118853
86,86,74,0.0449535057674176
87,87,89,0.0441585825253293
88,88,77,0.0428912422798736
89,89,76,0.0426534098521657
90,90,79,0.0429049457534801
91,91,80,0.0414358679267974
92,92,90,0.0440236779976233
93,93,74,0.0432611372300242
94,94,83,0.0441257568864191
95,95,79,0.0447254733437724
96,96,89,0.0441685290131377
97,97,80,0.0450656495661217
98,98,86,0.046271129133256
99,99,79,0.0417781053814634
100,100,69,0.0442005455426993
