,model,correlation,colorVals,correlationPear
1,crisprHAL Tev,0.6896449,purple,0.6926525
2,crisprHAL WT,0.587046007735663,blue,0.586352785343707
3,DeepSgRNA WT,0.517422993285062,blue,0.528248843300736
4,Guo WT,0.571487288728668,blue,0.557967898504531
