,model,correlation,colorVals,correlationPear
1,crisprHAL Tev,0.693813211208898,purple,0.6147376
2,crisprHAL TL-Tev,0.634000749354601,blue,0.535874116612229
3,crisprHAL TL-WT,0.594675841792666,gold,0.508267352003997
4,crisprHAL WT,0.606197324641984,gold,0.609686803181404
5,DeepSgRNA WT,0.593216408247389,blue,0.608768677789211
6,Guo WT,0.582856362687627,blue,0.561036414346208
